movieId,title,genres,userId,rating,timestamp
4308,Moulin Rouge (2001),Drama|Musical|Romance,110183,4.5,1211589076
2501,October Sky (1999),Drama,161550,3.0,940764405
1193,One Flew Over the Cuckoo's Nest (1975),Drama,14183,4.0,1232323585
529,Searching for Bobby Fischer (1993),Drama,79758,3.0,1501379734
1882,Godzilla (1998),Action|Sci-Fi|Thriller,158651,0.5,1112163778
4993,"Lord of the Rings: The Fellowship of the Ring, The (2001)",Adventure|Fantasy,82329,4.0,1125462669
898,"Philadelphia Story, The (1940)",Comedy|Drama|Romance,118698,5.0,974076591
68954,Up (2009),Adventure|Animation|Children|Drama,75615,3.0,1476024936
2057,"Incredible Journey, The (1963)",Adventure|Children,46465,4.0,975113829
150,Apollo 13 (1995),Adventure|Drama|IMAX,161232,4.5,1480022038
1262,"Great Escape, The (1963)",Action|Adventure|Drama|War,42663,4.0,946529774
2087,Peter Pan (1953),Animation|Children|Fantasy|Musical,141625,3.5,1453846143
1957,Chariots of Fire (1981),Drama,48115,4.0,948183731
87232,X-Men: First Class (2011),Action|Adventure|Sci-Fi|Thriller|War,76993,4.0,1309850966
1356,Star Trek: First Contact (1996),Action|Adventure|Sci-Fi|Thriller,53326,3.5,1441515532
553,Tombstone (1993),Action|Drama|Western,89406,5.0,1129567655
372,Reality Bites (1994),Comedy|Drama|Romance,10995,3.0,974675977
1246,Dead Poets Society (1989),Drama,26414,4.0,1411767999
1080,Monty Python's Life of Brian (1979),Comedy,27277,3.5,1139834655
6586,American Wedding (American Pie 3) (2003),Comedy,132335,1.0,1076869807
3101,Fatal Attraction (1987),Drama|Thriller,28864,3.0,953089524
805,"Time to Kill, A (1996)",Drama|Thriller,103049,5.0,859632061
4027,"O Brother, Where Art Thou? (2000)",Adventure|Comedy|Crime,67262,3.5,1210637155
589,Terminator 2: Judgment Day (1991),Action|Sci-Fi,18306,4.0,1000952667
1962,Driving Miss Daisy (1989),Drama,156368,4.0,947191349
691,Mrs. Winterbourne (1996),Comedy|Romance,104136,2.0,1043820945
5010,Black Hawk Down (2001),Action|Drama|War,114972,3.0,1085874927
3167,Carnal Knowledge (1971),Comedy|Drama,53766,4.0,945321398
1148,Wallace & Gromit: The Wrong Trousers (1993),Animation|Children|Comedy|Crime,92105,4.5,1174746543
5139,"Bad News Bears, The (1976)",Comedy,54500,3.5,1063659899
3932,"Invisible Man, The (1933)",Horror|Sci-Fi,118803,3.0,974145290
5418,"Bourne Identity, The (2002)",Action|Mystery|Thriller,55188,4.0,1537195288
16,Casino (1995),Crime|Drama,77130,1.0,831284472
1387,Jaws (1975),Action|Horror,68286,4.0,1136791954
541,Blade Runner (1982),Action|Sci-Fi|Thriller,106956,4.5,1171136270
3440,Teenage Mutant Ninja Turtles III (1993),Action|Adventure|Children|Comedy|Fantasy,71482,3.0,975035803
1704,Good Will Hunting (1997),Drama|Romance,7067,3.0,942887736
799,"Frighteners, The (1996)",Comedy|Horror|Thriller,61803,3.0,1046622732
1136,Monty Python and the Holy Grail (1975),Adventure|Comedy|Fantasy,65001,3.0,1337178117
4987,Spacehunter: Adventures in the Forbidden Zone (1983),Action|Adventure|Sci-Fi,160049,2.0,1007361443
1089,Reservoir Dogs (1992),Crime|Mystery|Thriller,150659,3.0,857111063
788,"Nutty Professor, The (1996)",Comedy|Fantasy|Romance|Sci-Fi,94836,3.5,1115432402
152081,Zootopia (2016),Action|Adventure|Animation|Children|Comedy,148547,3.0,1480706870
85414,Source Code (2011),Action|Drama|Mystery|Sci-Fi|Thriller,1028,4.5,1303316316
293,Léon: The Professional (a.k.a. The Professional) (Léon) (1994),Action|Crime|Drama|Thriller,20290,5.0,1191411587
89759,"Separation, A (Jodaeiye Nader az Simin) (2011)",Drama,5771,5.0,1540731362
2959,Fight Club (1999),Action|Crime|Drama|Thriller,148830,4.5,1111493401
4262,Scarface (1983),Action|Crime|Drama,60629,3.0,1108645009
3793,X-Men (2000),Action|Adventure|Sci-Fi,76550,3.5,1541844563
4963,Ocean's Eleven (2001),Crime|Thriller,67848,5.0,1055916402
1999,"Exorcist III, The (1990)",Horror,121145,3.0,952628423
6523,Mr. Baseball (1992),Comedy|Romance,139337,2.5,1058161662
520,Robin Hood: Men in Tights (1993),Comedy,99076,5.0,839204597
3196,Stalag 17 (1953),Drama|War,31074,3.5,1225420762
4878,Donnie Darko (2001),Drama|Mystery|Sci-Fi|Thriller,145201,5.0,1223886245
1375,Star Trek III: The Search for Spock (1984),Action|Adventure|Sci-Fi,141860,4.0,945314012
2599,Election (1999),Comedy,63588,4.0,974708076
2849,Queens Logic (1991),Comedy|Drama,154937,3.0,972512747
356,Forrest Gump (1994),Comedy|Drama|Romance|War,40066,4.0,1167518904
4643,Planet of the Apes (2001),Action|Adventure|Drama|Sci-Fi,48842,4.0,1409004149
115147,The Best of Me (2014),Drama|Romance,127422,4.5,1433390845
2001,Lethal Weapon 2 (1989),Action|Comedy|Crime|Drama,120007,5.0,1157925583
2378,Police Academy (1984),Comedy|Crime,105512,3.5,1480262678
594,Snow White and the Seven Dwarfs (1937),Animation|Children|Drama|Fantasy|Musical,119999,3.5,1287836085
1084,Bonnie and Clyde (1967),Crime|Drama,147677,3.0,1567022560
1197,"Princess Bride, The (1987)",Action|Adventure|Comedy|Fantasy|Romance,67441,4.5,1193162762
46970,Talladega Nights: The Ballad of Ricky Bobby (2006),Action|Comedy,57079,2.5,1509302621
1587,Conan the Barbarian (1982),Action|Adventure|Fantasy,64562,4.0,963750136
52885,Paprika (Papurika) (2006),Animation|Mystery|Sci-Fi,38535,4.0,1322431846
72737,"Princess and the Frog, The (2009)",Animation|Children|Fantasy|Musical|Romance,112501,3.0,1501787115
97913,Wreck-It Ralph (2012),Animation|Comedy,42998,3.5,1554005116
53956,Death at a Funeral (2007),Comedy,18603,5.0,1328655945
3317,Wonder Boys (2000),Comedy|Drama,131886,4.0,1270655230
79,"Juror, The (1996)",Drama|Thriller,135513,2.0,867684644
152870,Khakee (2004),Action,130333,0.5,1542217513
2265,Nothing But Trouble (1991),Adventure|Comedy,26553,0.5,1329741563
1199,Brazil (1985),Fantasy|Sci-Fi,92046,4.0,1000141159
1562,Batman & Robin (1997),Action|Adventure|Fantasy|Thriller,106454,4.0,869222647
1674,Witness (1985),Drama|Romance|Thriller,55131,4.0,939902590
91529,"Dark Knight Rises, The (2012)",Action|Adventure|Crime|IMAX,29977,5.0,1514527981
1950,In the Heat of the Night (1967),Drama|Mystery,48931,4.5,1154465525
50,"Usual Suspects, The (1995)",Crime|Mystery|Thriller,109443,4.0,838151206
5379,"Believer, The (2001)",Drama,132624,1.0,1257776360
6517,"Babe, The (1992)",Drama,141899,2.5,1260758851
2081,"Little Mermaid, The (1989)",Animation|Children|Comedy|Musical|Romance,64357,3.0,1454983846
6874,Kill Bill: Vol. 1 (2003),Action|Crime|Thriller,58838,2.0,1122078319
150,Apollo 13 (1995),Adventure|Drama|IMAX,4756,3.0,1246513513
158238,The Nice Guys (2016),Crime|Mystery|Thriller,59152,4.0,1494683904
161364,The Presence (2014),Horror,36618,3.5,1494881655
497,Much Ado About Nothing (1993),Comedy|Romance,140124,5.0,1112735659
2764,"Thomas Crown Affair, The (1968)",Crime|Drama|Romance|Thriller,74001,3.0,1112213770
